filename,class,maxLen,minLen,meanLen,medianLen,127.0.0.1,173.0.156.209,192.111.144.114,192.168.4.1,192.168.4.2,198.137.202.56,198.211.103.209,204.2.134.163,207.171.178.6,23.23.78.21,34.194.105.124,34.202.18.7,44.12.6.37,52.0.124.206,52.94.221.173,52.94.229.76,52.95.112.20,93.184.216.34,Protocol: 0,Protocol: 1,Protocol: 6,Protocol: 17
AlexaTime1burst1.pcap,1,1494,0,395.59859154929575,209.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst10.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst11.pcap,1,1494,0,362.0927152317881,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst12.pcap,0,176,0,76.66666666666667,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst13.pcap,0,90,0,60,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst14.pcap,0,90,0,60,90,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst15.pcap,0,90,0,60,90,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst16.pcap,0,95,0,70.66666666666667,90.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AlexaTime1burst17.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst18.pcap,1,1494,0,391.64028776978415,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst2.pcap,0,176,0,76.66666666666667,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst3.pcap,0,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaTime1burst4.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst5.pcap,0,90,0,60,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst6.pcap,0,90,0,72,90,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst7.pcap,0,90,0,60,90,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime1burst8.pcap,0,99,0,65.5,81.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AlexaTime1burst9.pcap,0,95,0,59.6,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst1.pcap,0,95,0,62.44444444444444,66,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
AlexaTime2burst10.pcap,1,1494,0,380.47333333333336,95.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
AlexaTime2burst11.pcap,0,177,0,77,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst12.pcap,0,90,0,60,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst13.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst14.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst15.pcap,1,1494,0,381.19847328244276,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst16.pcap,0,176,0,72,60.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst17.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst18.pcap,1,1494,0,367.1203007518797,91,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
AlexaTime2burst19.pcap,0,1494,0,400.64912280701753,144,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
AlexaTime2burst2.pcap,1,1494,0,344.8936170212766,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
AlexaTime2burst20.pcap,0,91,0,48.333333333333336,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
AlexaTime2burst21.pcap,0,95,0,58.666666666666664,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AlexaTime2burst22.pcap,0,90,0,60,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst23.pcap,1,1494,0,376.3941605839416,91,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AlexaTime2burst24.pcap,0,177,0,77,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst25.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst26.pcap,0,201,0,71.25,42.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst27.pcap,1,1494,0,380.62595419847327,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst28.pcap,0,176,0,76.66666666666667,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst29.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst3.pcap,0,177,0,74.25,60.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
AlexaTime2burst30.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst31.pcap,1,1494,0,396.64462809917353,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst32.pcap,0,177,0,63,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst33.pcap,0,90,0,60,90,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst34.pcap,0,99,0,73.66666666666667,90.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
AlexaTime2burst35.pcap,0,95,0,59.6,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst36.pcap,1,1494,0,391.544,162,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
AlexaTime2burst37.pcap,0,177,0,77,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst38.pcap,0,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaTime2burst39.pcap,1,1494,0,405.4854368932039,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst4.pcap,0,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaTime2burst5.pcap,0,66,0,33,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AlexaTime2burst6.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst7.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaTime2burst8.pcap,0,85,0,42.5,42.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
AlexaTime2burst9.pcap,0,95,0,59.6,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst1.pcap,2,1494,0,554.0395256916996,374,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
AlexaWeather1burst10.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst11.pcap,0,90,0,60,90,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst12.pcap,0,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaWeather1burst13.pcap,0,95,0,59.6,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst14.pcap,0,42,0,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlexaWeather1burst15.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst16.pcap,2,1494,0,477.0970149253731,98.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1
AlexaWeather1burst17.pcap,0,95,0,59.6,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst18.pcap,0,179,0,77.66666666666667,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst19.pcap,0,90,0,52.8,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
AlexaWeather1burst2.pcap,0,201,0,71.25,42.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst20.pcap,0,191,0,95.5,95.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst21.pcap,0,201,0,100.5,100.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AlexaWeather1burst22.pcap,2,1494,0,552.2777777777778,491.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
