filename,class,maxLen,minLen,meanLen,medianLen,127.0.0.1,173.0.156.209,192.111.144.114,192.168.4.1,192.168.4.2,198.137.202.56,198.211.103.209,204.2.134.163,207.171.178.6,23.23.78.21,34.194.105.124,34.202.18.7,44.12.6.37,52.0.124.206,52.94.221.173,52.94.229.76,52.95.112.20,93.184.216.34,Protocol: 0,Protocol: 1,Protocol: 6,Protocol: 17
AlexaTime1burst1.pcap,1,1494,0,395.5985915,209.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst11.pcap,1,1494,0,362.0927152,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime1burst18.pcap,1,1494,0,391.6402878,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst10.pcap,1,1494,0,380.4733333,95,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
AlexaTime2burst15.pcap,1,1494,0,381.1984733,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst18.pcap,1,1494,0,367.1203008,91,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
AlexaTime2burst2.pcap,1,1494,0,344.893617,91,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
AlexaTime2burst23.pcap,1,1494,0,376.3941606,91,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AlexaTime2burst27.pcap,1,1494,0,380.6259542,154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst31.pcap,1,1494,0,396.6446281,91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaTime2burst36.pcap,1,1494,0,391.544,162,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
AlexaTime2burst39.pcap,1,1494,0,405.4854369,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst1.pcap,2,1494,0,554.0395257,374,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
AlexaWeather1burst16.pcap,2,1494,0,477.0970149,98,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1
AlexaWeather1burst22.pcap,2,1494,0,552.2777778,491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst28.pcap,2,1494,0,589.9037433,491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst33.pcap,2,1494,0,528.6084906,491,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst39.pcap,2,1494,0,513.6897959,176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AlexaWeather1burst43.pcap,2,1494,0,524.562753,374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
